Sensor Time,Lidar Height (cm),ToF Height (cm)
16:18:44.304885,158,155
16:18:44.419625,158,155
16:18:44.534265,159,155
16:18:44.648984,159,155
16:18:44.763616,158,155
16:18:44.878334,158,155
16:18:44.993000,159,155
16:18:45.107694,158,155
16:18:45.222700,159,155
16:18:45.337366,158,155
16:18:45.451843,158,155
16:18:45.566441,158,155
16:18:45.681119,158,155
16:18:45.795760,159,155
16:18:45.910502,158,155
16:18:46.029236,158,155
16:18:46.143906,159,155
16:18:46.258606,158,155
16:18:46.373255,158,155
16:18:46.487982,158,155
16:18:46.602641,159,155
16:18:46.717331,159,155
16:18:46.832210,159,155
16:18:46.946665,159,155
16:18:47.061391,159,155
16:18:47.176122,158,155
16:18:47.290735,158,155
16:18:47.405439,159,155
16:18:47.520157,159,155
16:18:47.634810,159,155
16:18:47.749458,159,155
16:18:47.868290,158,155
16:18:47.982924,159,156
16:18:48.097628,159,155
16:18:48.212369,159,155
16:18:48.327039,159,155
16:18:48.441655,159,155
16:18:48.556391,158,155
16:18:48.671069,157,155
16:18:48.785759,158,155
16:18:48.900414,159,155
16:18:49.015132,157,155
16:18:49.129792,159,155
16:18:49.244475,159,155
16:18:49.359185,159,155
16:18:49.473839,159,155
16:18:49.592586,158,155
16:18:49.707270,158,155
16:18:49.821966,159,155
16:18:49.936703,159,155
16:18:50.051344,158,155
16:18:50.165994,158,155
16:18:50.280731,158,155
16:18:50.395395,158,156
16:18:50.510103,158,155
16:18:50.624735,158,155
16:18:50.739450,159,155
16:18:50.854147,159,155
16:18:50.968888,159,155
16:18:51.083507,159,155
16:18:51.198174,159,155
16:18:51.312892,159,155
16:18:51.431661,158,155
16:18:51.546389,159,155
16:18:51.661056,159,155
16:18:51.775651,159,156
16:18:51.890401,159,155
16:18:52.005031,159,155
16:18:52.119752,159,155
16:18:52.234442,158,155
16:18:52.349090,159,155
16:18:52.463773,159,155
16:18:52.578437,159,155
16:18:52.693161,159,156
16:18:52.807859,159,155
16:18:52.922539,159,155
16:18:53.037229,159,155
16:18:53.151915,159,155
16:18:53.270641,159,155
16:18:53.385356,158,155
16:18:53.500055,158,155
16:18:53.614746,159,155
16:18:53.729412,159,155
16:18:53.844107,158,155
16:18:53.958775,159,155
16:18:54.073429,158,155
16:18:54.188146,159,155
16:18:54.302806,158,156
16:18:54.417497,158,155
16:18:54.532452,159,155
16:18:54.646856,160,155
16:18:54.761573,159,155
16:18:54.876229,159,155
16:18:54.990948,159,155
16:18:55.109718,158,155
16:18:55.224426,158,155
16:18:55.339094,158,155
16:18:55.453790,159,155
16:18:55.568462,158,155
16:18:55.683084,158,155
16:18:55.797792,158,155
16:18:55.912588,158,155
16:18:56.027189,159,155
16:18:56.142442,158,155
16:18:56.256545,158,155
16:18:56.371207,157,155
16:18:56.485939,159,156
16:18:56.600632,159,155
16:18:56.715303,158,155
16:18:56.829975,159,155
16:18:56.948803,159,155
16:18:57.063426,159,155
16:18:57.178097,159,155
16:18:57.292779,160,155
16:18:57.407465,158,155
